x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-120.0000E-06,+614.9182930E-03,+1.4907349408E+00,+7.4700062335E+00,+7.9213253242E+00
-119.8800E-06,+620.8856297E-03,+1.4888505187E+00,+7.5117775899E+00,+7.9652951730E+00
-119.7600E-06,+624.3404035E-03,+1.4866520263E+00,+7.5598303532E+00,+8.0086368810E+00
-119.6400E-06,+623.7122628E-03,+1.4879083077E+00,+7.6038002019E+00,+8.0488378856E+00
-119.5200E-06,+629.9936698E-03,+1.4850816745E+00,+7.6364635182E+00,+8.0868403978E+00
-119.4000E-06,+632.8203029E-03,+1.4838253931E+00,+7.6728956786E+00,+8.1229584878E+00
-119.2800E-06,+632.1921622E-03,+1.4803706193E+00,+7.7090137687E+00,+8.1619032110E+00
-119.1600E-06,+637.2172878E-03,+1.4775439862E+00,+7.7463881401E+00,+8.2058730598E+00
-119.0400E-06,+640.0439209E-03,+1.4772299158E+00,+7.7891017075E+00,+8.2473303458E+00
-118.9200E-06,+640.3579913E-03,+1.4772299158E+00,+7.8308730638E+00,+8.2831343655E+00
-118.8000E-06,+640.3579913E-03,+1.4744032827E+00,+7.8654208022E+00,+8.3183102445E+00
-118.6800E-06,+645.6971872E-03,+1.4744032827E+00,+7.8993403998E+00,+8.3528579829E+00
-118.5600E-06,+646.9534686E-03,+1.4737751420E+00,+7.9382851230E+00,+8.3880338619E+00
-118.4400E-06,+646.0112575E-03,+1.4709485088E+00,+7.9750313538E+00,+8.4228956706E+00
-118.3200E-06,+647.8956796E-03,+1.4709485088E+00,+8.0080087403E+00,+8.4583856199E+00
-118.2000E-06,+651.0363831E-03,+1.4687500164E+00,+8.0378454234E+00,+8.4935614990E+00
-118.0800E-06,+655.1192976E-03,+1.4693781571E+00,+8.0711368804E+00,+8.5284233076E+00
-117.9600E-06,+655.4333680E-03,+1.4678078054E+00,+8.1041142669E+00,+8.5592022018E+00
-117.8400E-06,+655.4333680E-03,+1.4652952426E+00,+8.1336368797E+00,+8.5874685331E+00
-117.7200E-06,+654.1770866E-03,+1.4656093129E+00,+8.1600187890E+00,+8.6144785831E+00
-117.6000E-06,+660.1444232E-03,+1.4649811722E+00,+8.1879710500E+00,+8.6408604923E+00
-117.4800E-06,+661.7147749E-03,+1.4649811722E+00,+8.2156092406E+00,+8.6728956679E+00
-117.3600E-06,+660.4584936E-03,+1.4634108205E+00,+8.2476444162E+00,+8.7033604917E+00
-117.2400E-06,+661.4007046E-03,+1.4605841873E+00,+8.2752826068E+00,+8.7313127527E+00
-117.1200E-06,+660.1444232E-03,+1.4608982577E+00,+8.3019785864E+00,+8.7551820992E+00
-117.0000E-06,+662.0288453E-03,+1.4608982577E+00,+8.3261620033E+00,+8.7781092346E+00
-116.8800E-06,+661.0866343E-03,+1.4580716246E+00,+8.3522298422E+00,+8.8032348625E+00
-116.7600E-06,+664.2273377E-03,+1.4583856949E+00,+8.3770413997E+00,+8.8327574752E+00
-116.6400E-06,+667.9961819E-03,+1.4574434839E+00,+8.4005966758E+00,+8.8591393845E+00
-116.5200E-06,+667.9961819E-03,+1.4561872025E+00,+8.4250941630E+00,+8.8820665199E+00
-116.4000E-06,+668.6243226E-03,+1.4558731321E+00,+8.4470790874E+00,+8.9068780774E+00
-116.2800E-06,+668.6243226E-03,+1.4543027804E+00,+8.4700062228E+00,+8.9298052129E+00
-116.1600E-06,+667.9961819E-03,+1.4555590618E+00,+8.4935614990E+00,+8.9489635041E+00
-116.0400E-06,+667.9961819E-03,+1.4546168507E+00,+8.5155464233E+00,+8.9703202878E+00
-115.9200E-06,+667.3680412E-03,+1.4524183583E+00,+8.5353328553E+00,+8.9929333529E+00
-115.8000E-06,+668.3102523E-03,+1.4533605693E+00,+8.5541770762E+00,+9.0139760662E+00
-115.6800E-06,+668.9383930E-03,+1.4521042879E+00,+8.5761620006E+00,+9.0359609906E+00
-115.5600E-06,+669.5665337E-03,+1.4511620769E+00,+8.5946921511E+00,+9.0529207894E+00
-115.4400E-06,+670.1946744E-03,+1.4505339362E+00,+8.6147926534E+00,+9.0708227993E+00
-115.3200E-06,+667.6821116E-03,+1.4514761472E+00,+8.6339509447E+00,+9.0887248092E+00
-115.2000E-06,+669.5665337E-03,+1.4508480065E+00,+8.6518529545E+00,+9.1025439045E+00
-115.0800E-06,+668.6243226E-03,+1.4499057955E+00,+8.6666142609E+00,+9.1173052109E+00
-114.9600E-06,+666.7399005E-03,+1.4483354438E+00,+8.6801192859E+00,+9.1323805876E+00
-114.8400E-06,+667.6821116E-03,+1.4486495141E+00,+8.6942524516E+00,+9.1461996829E+00
-114.7200E-06,+667.6821116E-03,+1.4473932327E+00,+8.7074434062E+00,+9.1625313410E+00
-114.6000E-06,+661.4007046E-03,+1.4473932327E+00,+8.7215765719E+00,+9.1754082253E+00
-114.4800E-06,+662.0288453E-03,+1.4477073031E+00,+8.7325690341E+00,+9.1876569689E+00
-114.3600E-06,+662.3429156E-03,+1.4464510217E+00,+8.7463881294E+00,+9.2008479235E+00
-114.2400E-06,+661.0866343E-03,+1.4473932327E+00,+8.7567524509E+00,+9.2130966671E+00
-114.1200E-06,+662.0288453E-03,+1.4464510217E+00,+8.7683730538E+00,+9.2244031997E+00
-114.0000E-06,+660.4584936E-03,+1.4464510217E+00,+8.7774810939E+00,+9.2350815915E+00
-113.8800E-06,+661.0866343E-03,+1.4461369513E+00,+8.7869032044E+00,+9.2451318427E+00
-113.7600E-06,+656.3755790E-03,+1.4442525292E+00,+8.7950690334E+00,+9.2554961642E+00
-113.6400E-06,+655.7474383E-03,+1.4455088106E+00,+8.8066896363E+00,+9.2636619932E+00
-113.5200E-06,+653.8630162E-03,+1.4445665996E+00,+8.8117147619E+00,+9.2702574705E+00
-113.4000E-06,+655.4333680E-03,+1.4439384589E+00,+8.8217650130E+00,+9.2781092292E+00
-113.2800E-06,+655.7474383E-03,+1.4439384589E+00,+8.8311871235E+00,+9.2831343548E+00
-113.1600E-06,+651.0363831E-03,+1.4445665996E+00,+8.8365263194E+00,+9.2909861135E+00
-113.0400E-06,+647.5816093E-03,+1.4433103182E+00,+8.8437499374E+00,+9.2960112391E+00
-112.9200E-06,+647.5816093E-03,+1.4436243885E+00,+8.8481469223E+00,+9.3000941536E+00
-112.8000E-06,+648.2097500E-03,+1.4429962478E+00,+8.8538001886E+00,+9.3057474199E+00
-112.6800E-06,+643.8127651E-03,+1.4448806699E+00,+8.8575690327E+00,+9.3092021937E+00
-112.5600E-06,+640.9861320E-03,+1.4439384589E+00,+8.8619660176E+00,+9.3132851083E+00
-112.4400E-06,+641.3002023E-03,+1.4433103182E+00,+8.8657348618E+00,+9.3167398821E+00
-112.3200E-06,+640.9861320E-03,+1.4455088106E+00,+8.8688755653E+00,+9.3205087263E+00
-112.2000E-06,+637.8454285E-03,+1.4429962478E+00,+8.8717021984E+00,+9.3208227966E+00
-112.0800E-06,+634.3906546E-03,+1.4445665996E+00,+8.8732725502E+00,+9.3233353594E+00
-111.9600E-06,+634.3906546E-03,+1.4445665996E+00,+8.8745288316E+00,+9.3258479222E+00
-111.8400E-06,+628.7373884E-03,+1.4436243885E+00,+8.8773554647E+00,+9.3252197815E+00
-111.7200E-06,+623.7122628E-03,+1.4445665996E+00,+8.8779836054E+00,+9.3271042036E+00
-111.6000E-06,+624.9685442E-03,+1.4439384589E+00,+8.8779836054E+00,+9.3261619925E+00
-111.4800E-06,+620.2574890E-03,+1.4451947403E+00,+8.8760991833E+00,+9.3274182739E+00
-111.3600E-06,+616.4886448E-03,+1.4429962478E+00,+8.8742147612E+00,+9.3239635001E+00
-111.2400E-06,+614.2901523E-03,+1.4433103182E+00,+8.8720162688E+00,+9.3220790780E+00
-111.1200E-06,+610.5213082E-03,+1.4442525292E+00,+8.8685614949E+00,+9.3201946559E+00
-111.0000E-06,+607.3806047E-03,+1.4439384589E+00,+8.8647926508E+00,+9.3157976710E+00
-110.8800E-06,+604.2399012E-03,+1.4439384589E+00,+8.8603956659E+00,+9.3135991786E+00
-110.7600E-06,+599.5288460E-03,+1.4436243885E+00,+8.8553705403E+00,+9.3092021937E+00
-110.6400E-06,+597.6444239E-03,+1.4455088106E+00,+8.8503454147E+00,+9.3044911385E+00
-110.5200E-06,+592.6192983E-03,+1.4445665996E+00,+8.8459484299E+00,+9.2997800833E+00
-110.4000E-06,+591.9911576E-03,+1.4458228810E+00,+8.8415514450E+00,+9.2938127467E+00
-110.2800E-06,+584.7675396E-03,+1.4458228810E+00,+8.8333856159E+00,+9.2881594804E+00
-110.1600E-06,+583.5112582E-03,+1.4445665996E+00,+8.8255338572E+00,+9.2815640031E+00
-110.0400E-06,+578.8002030E-03,+1.4448806699E+00,+8.8183102392E+00,+9.2752825961E+00
-109.9200E-06,+575.0313588E-03,+1.4464510217E+00,+8.8070037066E+00,+9.2664886264E+00
-109.8000E-06,+570.9484443E-03,+1.4467650920E+00,+8.7985238072E+00,+9.2586368676E+00
-109.6800E-06,+566.8655297E-03,+1.4467650920E+00,+8.7900439078E+00,+9.2489006868E+00
-109.5600E-06,+562.7826152E-03,+1.4464510217E+00,+8.7809358677E+00,+9.2394785764E+00
-109.4400E-06,+558.6997007E-03,+1.4461369513E+00,+8.7705715462E+00,+9.2272298328E+00
-109.3200E-06,+553.3605048E-03,+1.4464510217E+00,+8.7595790840E+00,+9.2140388782E+00
-109.2000E-06,+550.8479420E-03,+1.4480213734E+00,+8.7470162701E+00,+9.2014760642E+00
-109.0800E-06,+543.9383943E-03,+1.4492776548E+00,+8.7322549637E+00,+9.1864006875E+00
-108.9600E-06,+542.3680426E-03,+1.4483354438E+00,+8.7159233056E+00,+9.1713253108E+00
-108.8400E-06,+537.3429170E-03,+1.4489635845E+00,+8.7014760696E+00,+9.1556217934E+00
-108.7200E-06,+535.1444245E-03,+1.4499057955E+00,+8.6870288336E+00,+9.1392901353E+00
-108.6000E-06,+529.1770879E-03,+1.4511620769E+00,+8.6716393865E+00,+9.1235866178E+00
-108.4800E-06,+527.2926658E-03,+1.4508480065E+00,+8.6559358691E+00,+9.1078831004E+00
-108.3600E-06,+521.3253292E-03,+1.4524183583E+00,+8.6361494371E+00,+9.0918655126E+00
-108.2400E-06,+516.3002036E-03,+1.4517902176E+00,+8.6141645127E+00,+9.0720790807E+00
-108.1200E-06,+513.4735705E-03,+1.4533605693E+00,+8.5937499401E+00,+9.0519785784E+00
-108.0000E-06,+509.3906560E-03,+1.4536746397E+00,+8.5717650157E+00,+9.0325062168E+00
-107.8800E-06,+504.0514601E-03,+1.4530464990E+00,+8.5478956692E+00,+9.0073805889E+00
-107.7600E-06,+499.9685455E-03,+1.4558731321E+00,+8.5252826041E+00,+8.9828831018E+00
-107.6400E-06,+495.8856310E-03,+1.4561872025E+00,+8.5017273280E+00,+8.9586996849E+00
-107.5200E-06,+490.5464351E-03,+1.4565012728E+00,+8.4762876298E+00,+8.9357725495E+00
-107.4000E-06,+486.7775909E-03,+1.4590138356E+00,+8.4495916502E+00,+8.9100187809E+00
-107.2800E-06,+483.3228171E-03,+1.4580716246E+00,+8.4222675299E+00,+8.8845790827E+00
-107.1600E-06,+476.7273397E-03,+1.4593279059E+00,+8.3971419020E+00,+8.8553705403E+00
-107.0400E-06,+471.0740735E-03,+1.4583856949E+00,+8.3688755706E+00,+8.8230212944E+00
-106.9200E-06,+464.4785962E-03,+1.4621545391E+00,+8.3362122544E+00,+8.7906720485E+00
-106.8000E-06,+459.4534706E-03,+1.4627826798E+00,+8.3054333603E+00,+8.7611494358E+00
-106.6800E-06,+451.6017119E-03,+1.4643530315E+00,+8.2743403958E+00,+8.7297424009E+00
-106.5600E-06,+445.6343753E-03,+1.4652952426E+00,+8.2404207981E+00,+8.6967650144E+00
-106.4400E-06,+441.5514607E-03,+1.4674937350E+00,+8.2043027081E+00,+8.6609609946E+00
-106.3200E-06,+434.9559834E-03,+1.4662374536E+00,+8.1700690401E+00,+8.6270413970E+00
-106.2000E-06,+427.1042247E-03,+1.4696922274E+00,+8.1386620053E+00,+8.5928077290E+00
-106.0800E-06,+422.0790991E-03,+1.4706344385E+00,+8.1016017042E+00,+8.5595162721E+00
-105.9600E-06,+420.8228177E-03,+1.4709485088E+00,+8.0623429106E+00,+8.5221419007E+00
-105.8400E-06,+410.4584962E-03,+1.4718907199E+00,+8.0246544688E+00,+8.4794283333E+00
-105.7200E-06,+407.6318631E-03,+1.4718907199E+00,+7.9863378863E+00,+8.4389132583E+00
-105.6000E-06,+401.3504561E-03,+1.4753454937E+00,+7.9423680375E+00,+8.3965137613E+00
-105.4800E-06,+395.3831195E-03,+1.4778580565E+00,+7.8958856260E+00,+8.3525439125E+00
-105.3600E-06,+390.3579939E-03,+1.4778580565E+00,+7.8553705510E+00,+8.3085740637E+00
-105.2400E-06,+385.3328684E-03,+1.4794284082E+00,+7.8104584912E+00,+8.2658604964E+00
-105.1200E-06,+379.0514614E-03,+1.4816269007E+00,+7.7608353761E+00,+8.2200062255E+00
-105.0000E-06,+370.8856323E-03,+1.4838253931E+00,+7.7134107535E+00,+8.1684986884E+00
-104.8800E-06,+365.8605068E-03,+1.4872801670E+00,+7.6669283420E+00,+8.1195037140E+00
-104.7600E-06,+358.6368887E-03,+1.4863379559E+00,+7.6242147746E+00,+8.0742775838E+00
-104.6400E-06,+352.6695521E-03,+1.4904208704E+00,+7.5767901520E+00,+8.0265388909E+00
-104.5200E-06,+345.1318638E-03,+1.4926193629E+00,+7.5221419114E+00,+7.9734610020E+00
-104.4000E-06,+337.9082458E-03,+1.4932475036E+00,+7.4671796004E+00,+7.9191268317E+00
-104.2800E-06,+330.3705574E-03,+1.4941897146E+00,+7.4169283447E+00,+7.8679333649E+00
-104.1600E-06,+324.0891504E-03,+1.4973304181E+00,+7.3657348779E+00,+7.8135991947E+00
-104.0400E-06,+315.6092510E-03,+1.4998429809E+00,+7.3129710593E+00,+7.7633479389E+00
-103.9200E-06,+309.9559847E-03,+1.5001570512E+00,+7.2586368891E+00,+7.7121544721E+00
-103.8000E-06,+302.7323667E-03,+1.5048681065E+00,+7.2024182967E+00,+7.6578203019E+00
-103.6800E-06,+293.9383970E-03,+1.5051821768E+00,+7.1474559857E+00,+7.6050564833E+00
-103.5600E-06,+287.9710604E-03,+1.5080088099E+00,+7.0858981974E+00,+7.5438127654E+00
-103.4400E-06,+281.3755830E-03,+1.5108354431E+00,+7.0230841278E+00,+7.4791142736E+00
-103.3200E-06,+276.0363871E-03,+1.5136620762E+00,+6.9624685505E+00,+7.4175564853E+00
-103.2000E-06,+267.8705581E-03,+1.5139761466E+00,+6.9049936768E+00,+7.3575690488E+00
-103.0800E-06,+263.1595028E-03,+1.5168027797E+00,+6.8409233257E+00,+7.2969534716E+00
-102.9600E-06,+254.0514627E-03,+1.5180590611E+00,+6.7847047333E+00,+7.2284861356E+00
-102.8400E-06,+248.7122668E-03,+1.5215138349E+00,+6.7228328747E+00,+7.1675564880E+00
-102.7200E-06,+244.3152819E-03,+1.5233982570E+00,+6.6575062422E+00,+7.1056846294E+00
-102.6000E-06,+236.4635232E-03,+1.5243404681E+00,+6.5912373987E+00,+7.0369032231E+00
-102.4800E-06,+227.3554831E-03,+1.5268530309E+00,+6.5240263442E+00,+6.9744032238E+00
-102.3600E-06,+220.7600058E-03,+1.5296796640E+00,+6.4577575007E+00,+6.9084484506E+00
-102.2400E-06,+213.5363878E-03,+1.5331344378E+00,+6.3883479537E+00,+6.8355841298E+00
-102.1200E-06,+205.6846291E-03,+1.5337625785E+00,+6.3173680549E+00,+6.7646042310E+00
-102.0000E-06,+200.0313628E-03,+1.5362751413E+00,+6.2441896637E+00,+6.7017901614E+00
-101.8800E-06,+189.3529710E-03,+1.5394158448E+00,+6.1744660464E+00,+6.6276695591E+00
-101.7600E-06,+182.1293530E-03,+1.5403580558E+00,+6.1034861477E+00,+6.5494660424E+00
-101.6400E-06,+173.6494535E-03,+1.5434987593E+00,+6.0325062489E+00,+6.4791142843E+00
-101.5200E-06,+166.1117652E-03,+1.5466394628E+00,+5.9605841391E+00,+6.4027951897E+00
