Freq.	V(vout)/V(vin)	V(vin)/Ix(x1:VIN)
1.00000000000000e+01	(5.69273082211318e+01dB,5.20658038579773e+01°)	(8.79474671925703e+01dB,-3.94741671587123e+01°)
1.05925372517729e+01	(5.71434526825289e+01dB,4.97689002410313e+01°)	(8.77525750692049e+01dB,-3.78640637849822e+01°)
1.12201845430196e+01	(5.73438596725480e+01dB,4.75303602373587e+01°)	(8.75711971193525e+01dB,-3.62769001031176e+01°)
1.18850222743702e+01	(5.75291752016009e+01dB,4.53530902445460e+01°)	(8.74029116560339e+01dB,-3.47171283656275e+01°)
1.25892541179417e+01	(5.77000870896303e+01dB,4.32396170544589e+01°)	(8.72472342026551e+01dB,-3.31887996921521e+01°)
1.33352143216332e+01	(5.78573159217034e+01dB,4.11920569303966e+01°)	(8.71036281674843e+01dB,-3.16955253534149e+01°)
1.41253754462275e+01	(5.80016055344420e+01dB,3.92120968382743e+01°)	(8.69715159276824e+01dB,-3.02404517800172e+01°)
1.49623565609443e+01	(5.81337134557615e+01dB,3.73009875772392e+01°)	(8.68502898896604e+01dB,-2.88262488497656e+01°)
1.58489319246111e+01	(5.82544016685556e+01dB,3.54595479627840e+01°)	(8.67393231456502e+01dB,-2.74551104147731e+01°)
1.67880401812256e+01	(5.83644279986613e+01dB,3.36881787549074e+01°)	(8.66379794159611e+01dB,-2.61287655867186e+01°)
1.77827941003892e+01	(5.84645383627198e+01dB,3.19868847163766e+01°)	(8.65456220440741e+01dB,-2.48484990161658e+01°)
1.88364908948980e+01	(5.85554600263119e+01dB,3.03553030474194e+01°)	(8.64616218903155e+01dB,-2.36151782719058e+01°)
1.99526231496888e+01	(5.86378959534304e+01dB,2.87927364297614e+01°)	(8.63853640431301e+01dB,-2.24292864295934e+01°)
2.11348903983665e+01	(5.87125202699400e+01dB,2.72981889994026e+01°)	(8.63162533308187e+01dB,-2.12909580875734e+01°)
2.23872113856834e+01	(5.87799748127926e+01dB,2.58704037381237e+01°)	(8.62537186686205e+01dB,-2.02000172114787e+01°)
2.37137370566166e+01	(5.88408666849751e+01dB,2.45079000048799e+01°)	(8.61972163154051e+01dB,-1.91560154385879e+01°)
2.51188643150958e+01	(5.88957667328377e+01dB,2.32090101421207e+01°)	(8.61462321411542e+01dB,-1.81582697223686e+01°)
2.66072505979881e+01	(5.89452088222581e+01dB,2.19719143531728e+01°)	(8.61002830225886e+01dB,-1.72058984463112e+01°)
2.81838293126445e+01	(5.89896898005712e+01dB,2.07946732565906e+01°)	(8.60589174910478e+01dB,-1.62978553693414e+01°)
2.98538261891796e+01	(5.90296700257318e+01dB,1.96752577285557e+01°)	(8.60217157562203e+01dB,-1.54329609731100e+01°)
3.16227766016838e+01	(5.90655743469135e+01dB,1.86115758166349e+01°)	(8.59882892236191e+01dB,-1.46099309586139e+01°)
3.34965439157828e+01	(5.90977934330272e+01dB,1.76014966458446e+01°)	(8.59582796141764e+01dB,-1.38274017850351e+01°)
3.54813389233575e+01	(5.91266853583513e+01dB,1.66428713464008e+01°)	(8.59313577827937e+01dB,-1.30839532577448e+01°)
3.75837404288444e+01	(5.91525773644708e+01dB,1.57335511134407e+01°)	(8.59072223201382e+01dB,-1.23781282580588e+01°)
3.98107170553497e+01	(5.91757677308492e+01dB,1.48714025695642e+01°)	(8.58855980093491e+01dB,-1.17084497681637e+01°)
4.21696503428582e+01	(5.91965276958926e+01dB,1.40543206354071e+01°)	(8.58662341971906e+01dB,-1.10734353845812e+01°)
4.46683592150963e+01	(5.92151033853449e+01dB,1.32802391336054e+01°)	(8.58489031280749e+01dB,-1.04716095365272e+01°)
4.73151258961481e+01	(5.92317177137395e+01dB,1.25471393593972e+01°)	(8.58333982793088e+01dB,-9.90151363549021e+00°)
5.01187233627272e+01	(5.92465722289643e+01dB,1.18530568508008e+01°)	(8.58195327272370e+01dB,-9.36171438224353e+00°)
5.30884444230989e+01	(5.92598488803695e+01dB,1.11960865821707e+01°)	(8.58071375664913e+01dB,-8.85081045030549e+00°)
5.62341325190349e+01	(5.92717117021197e+01dB,1.05743867873850e+01°)	(8.57960603982277e+01dB,-8.36743775286936e+00°)
5.95662143529011e+01	(5.92823083939045e+01dB,9.98618161184753e+00°)	(8.57861638982223e+01dB,-7.91027348500886e+00°)
6.30957344480193e+01	(5.92917718032745e+01dB,9.42976276404043e+00°)	(8.57773244713446e+01dB,-7.47803911638105e+00°)
6.68343917568615e+01	(5.93002213006135e+01dB,8.90349032881198e+00°)	(8.57694309958343e+01dB,-7.06950249212260e+00°)
7.07945784384138e+01	(5.93077640520935e+01dB,8.40579288013047e+00°)	(8.57623836580692e+01dB,-6.68347918261271e+00°)
7.49894209332456e+01	(5.93144961941381e+01dB,7.93516701681723e+00°)	(8.57560928766743e+01dB,-6.31883320618517e+00°)
7.94328234724282e+01	(5.93205039052050e+01dB,7.49017643155243e+00°)	(8.57504783133961e+01dB,-5.97447723338317e+00°)
8.41395141645195e+01	(5.93258643920518e+01dB,7.06945060169741e+00°)	(8.57454679670364e+01dB,-5.64937236719587e+00°)
8.91250938133746e+01	(5.93306467809732e+01dB,6.67168318678341e+00°)	(8.57409973462041e+01dB,-5.34252758062049e+00°)
9.44060876285924e+01	(5.93349129365337e+01dB,6.29563019526349e+00°)	(8.57370087160897e+01dB,-5.05299888143002e+00°)
1.00000000000000e+02	(5.93387181977274e+01dB,5.94010798324435e+00°)	(8.57334504143814e+01dB,-4.77988826354328e+00°)
1.05925372517729e+02	(5.93421120458331e+01dB,5.60399113059788e+00°)	(8.57302762312566e+01dB,-4.52234249545220e+00°)
1.12201845430196e+02	(5.93451387103853e+01dB,5.28621023527260e+00°)	(8.57274448485272e+01dB,-4.27955178813039e+00°)
1.18850222743702e+02	(5.93478377125129e+01dB,4.98574966051745e+00°)	(8.57249193331351e+01dB,-4.05074837794321e+00°)
1.25892541179417e+02	(5.93502443558627e+01dB,4.70164526121874e+00°)	(8.57226666803878e+01dB,-3.83520505416270e+00°)
1.33352143216332e+02	(5.93523901705024e+01dB,4.43298211215947e+00°)	(8.57206574025511e+01dB,-3.63223365554768e+00°)
1.41253754462275e+02	(5.93543033074525e+01dB,4.17889225713289e+00°)	(8.57188651587446e+01dB,-3.44118355602084e+00°)
1.49623565609443e+02	(5.93560088956174e+01dB,3.93855249201165e+00°)	(8.57172664222764e+01dB,-3.26144015584199e+00°)
1.58489319246111e+02	(5.93575293632870e+01dB,3.71118219310972e+00°)	(8.57158401818819e+01dB,-3.09242339148459e+00°)
