Frequency (Hz)	Vfgen (mV)	Vfgen meas	Vin (mV)	Vout (V)	av	av (dB)	phase (degrees)	phase (fixed)
100	99.8	86.6	1.644303797	3.538	2151.670516	66.65551538	170	190
200	99.8	87.6	1.663291139	3.618	2175.205479	66.75000577	173	187
500	99.8	89.7	1.703164557	3.907	2293.965069	67.21173601	177	183
750	99.8	90.1	1.710759494	3.889	2273.259341	67.13297969	-179	179
1000	99.8	90.2	1.712658228	3.982	2325.04065	67.32861101	-175	175
2000	99.8	90.4	1.716455696	3.902	2273.289086	67.13309334	-163	163
5000	99.8	90.4	1.716455696	3.071	1789.151917	65.05294436	-138	138
7500	99.8	90.5	1.71835443	2.446	1423.45488	63.06687411	-125	125
10000	99.8	90.6	1.720253165	1.98	1150.993377	61.2214565	-118	118
20000	99.8	90.1	1.710759494	1.036	605.5789863	55.64341593	-105	105
50000	320	288.4	5.475949367	1.39	253.8372631	48.09110753	-96	96
75000	320	287.4	5.456962025	0.927	169.874739	44.60257605	-94	94
100000	500	453.1	8.603164557	1.074	124.8377842	41.92692103	-93	93
200000	5000	4505	85.53797468	5.395	63.07140215	35.99664972	-93	93
500000	2330	2085	39.58860759	1.005	25.38609113	28.09191669	-89	89
1000000	2330	2087	39.62658228	0.527	13.29915349	22.47647997	-86	86
2000000	5000	4526	85.93670886	0.606	7.051701281	16.96587814	282	78
5000000	5000	4560	86.58227848	0.404	4.666081871	13.37904709	-63	63
10000000	5000	4797	91.08227848	0.188	2.06406782	6.294479261	349	nan
15000000	5000	5102	96.87341772	0.137	1.414216647	3.010318902	-42	42
