Freq.	V(vin)/I(CB)	V(vc)/Ic(Q1)	V(vc)/V(vin)
1.00000000000000e+02	(7.35654663745407e+01dB,1.72421768822696e+02°)	(7.41514035219305e+01dB,1.79999999999965e+02°)	(2.98829451199901e+01dB,-9.97117969570052e+01°)
1.12201845430196e+02	(7.35194874284659e+01dB,1.72002240646150e+02°)	(7.41514035219536e+01dB,-1.79999999999969e+02°)	(3.08530437557578e+01dB,-1.00786094058174e+02°)
1.25892541179417e+02	(7.34635457874900e+01dB,1.71511908792940e+02°)	(7.41514035219328e+01dB,1.79999999999979e+02°)	(3.18158787569231e+01dB,-1.01991398451847e+02°)
1.41253754462275e+02	(7.33957366239118e+01dB,1.70956541987080e+02°)	(7.41514035219503e+01dB,-1.79999999999977e+02°)	(3.27696865581877e+01dB,-1.03338993035399e+02°)
1.58489319246111e+02	(7.33140340387162e+01dB,1.70344645454816e+02°)	(7.41514035219101e+01dB,-1.79999999999973e+02°)	(3.37123401331773e+01dB,-1.04840288994771e+02°)
1.77827941003892e+02	(7.32163886784609e+01dB,1.69688195275624e+02°)	(7.41514035219165e+01dB,1.79999999999973e+02°)	(3.46412963581175e+01dB,-1.06506387597121e+02°)
1.99526231496888e+02	(7.31008786851568e+01dB,1.69003269770428e+02°)	(7.41514035219085e+01dB,1.79999999999947e+02°)	(3.55535496818943e+01dB,-1.08347482237522e+02°)
2.23872113856834e+02	(7.29659171113194e+01dB,1.68310414523856e+02°)	(7.41514035219136e+01dB,-1.79999999999964e+02°)	(3.64456005964582e+01dB,-1.10372080630920e+02°)
2.51188643150958e+02	(7.28105071951508e+01dB,1.67634538262159e+02°)	(7.41514035219170e+01dB,1.79999999999984e+02°)	(3.73134504782454e+01dB,-1.12586043805567e+02°)
2.81838293126445e+02	(7.26345197861369e+01dB,1.67004136058512e+02°)	(7.41514035219297e+01dB,1.79999999999964e+02°)	(3.81526370193340e+01dB,-1.14991468665578e+02°)
3.16227766016838e+02	(7.24389478962589e+01dB,1.66449702877510e+02°)	(7.41514035218927e+01dB,1.79999999999865e+02°)	(3.89583254752431e+01dB,-1.17585486083412e+02°)
