Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
1.00000000000000e+02	(2.98608816705812e+01dB,-9.97226974335823e+01°)	(7.33793640909316e+01dB,1.69753949318296e+02°)	(7.41599149284794e+01dB,1.79999999999977e+02°)
1.12201845430196e+02	(3.08308519491728e+01dB,-1.00800786199374e+02°)	(7.33056608669289e+01dB,1.69072595728860e+02°)	(7.41599149284885e+01dB,-1.79999999999944e+02°)
1.25892541179417e+02	(3.17935229030121e+01dB,-1.02009993178136e+02°)	(7.32163770005158e+01dB,1.68309208786105e+02°)	(7.41599149284551e+01dB,1.79999999999986e+02°)
1.41253754462275e+02	(3.27471242276670e+01dB,-1.03361620872441e+02°)	(7.31088784404467e+01dB,1.67474462940219e+02°)	(7.41599149285022e+01dB,-1.79999999999920e+02°)
1.58489319246111e+02	(3.36895209464608e+01dB,-1.04867090874707e+02°)	(7.29805050822366e+01dB,1.66583520319483e+02°)	(7.41599149284381e+01dB,-1.80000000000000e+02°)
1.77827941003892e+02	(3.46181608554839e+01dB,-1.06537502699904e+02°)	(7.28287627073240e+01dB,1.65656801379916e+02°)	(7.41599149284510e+01dB,1.79999999999966e+02°)
1.99526231496888e+02	(3.55300284203586e+01dB,-1.08383032334818e+02°)	(7.26515828596677e+01dB,1.64720412359196e+02°)	(7.41599149284969e+01dB,1.79999999999969e+02°)
2.23872113856834e+02	(3.64216136832075e+01dB,-1.10412150635403e+02°)	(7.24476383010530e+01dB,1.63805989543817e+02°)	(7.41599149284790e+01dB,-1.79999999999881e+02°)
2.51188643150958e+02	(3.72889078146953e+01dB,-1.12630658715657e+02°)	(7.22166817509068e+01dB,1.62949730051458e+02°)	(7.41599149284486e+01dB,-1.79999999999997e+02°)
2.81838293126445e+02	(3.81274395737213e+01dB,-1.15040567894962e+02°)	(7.19598544744158e+01dB,1.62190465862020e+02°)	(7.41599149284387e+01dB,1.79999999999955e+02°)
3.16227766016838e+02	(3.89323678940107e+01dB,-1.17638897272769e+02°)	(7.16798964870893e+01dB,1.61566812316187e+02°)	(7.41599149284500e+01dB,1.79999999999947e+02°)
3.54813389233575e+02	(3.96986434240081e+01dB,-1.20416519485647e+02°)	(7.13811904402707e+01dB,1.61113658913211e+02°)	(7.41599149284505e+01dB,1.79999999999800e+02°)
3.98107170553497e+02	(4.04212444003774e+01dB,-1.23357243537412e+02°)	(7.10695923986282e+01dB,1.60858503885861e+02°)	(7.41599149284851e+01dB,-1.79999999999931e+02°)
4.46683592150963e+02	(4.10954789324010e+01dB,-1.26437362077682e+02°)	(7.07520432734813e+01dB,1.60818278339421e+02°)	(7.41599149284476e+01dB,1.79999999999860e+02°)
5.01187233627272e+02	(4.17173279583576e+01dB,-1.29625882353665e+02°)	(7.04360046417034e+01dB,1.60997290069245e+02°)	(7.41599149284942e+01dB,-1.79999999999948e+02°)
5.62341325190348e+02	(4.22837851734899e+01dB,-1.32885583301840e+02°)	(7.01288065657694e+01dB,1.61386722742823e+02°)	(7.41599149284796e+01dB,1.79999999999931e+02°)
6.30957344480193e+02	(4.27931389543387e+01dB,-1.36174894767183e+02°)	(6.98370180096219e+01dB,1.61965800192477e+02°)	(7.41599149284478e+01dB,-1.79999999999940e+02°)
7.07945784384137e+02	(4.32451433608640e+01dB,-1.39450410334234e+02°)	(6.95659445004736e+01dB,1.62704365747477e+02°)	(7.41599149284429e+01dB,1.79999999999983e+02°)
7.94328234724280e+02	(4.36410432444174e+01dB,-1.42669682767016e+02°)	(6.93193249056213e+01dB,1.63566343550175e+02°)	(7.41599149284824e+01dB,-1.79999999999972e+02°)
8.91250938133744e+02	(4.39834481472065e+01dB,-1.45793873708152e+02°)	(6.90992509138461e+01dB,1.64513423743148e+02°)	(7.41599149284635e+01dB,-1.79999999999944e+02°)
9.99999999999999e+02	(4.42760811877608e+01dB,-1.48789869595072e+02°)	(6.89062849401074e+01dB,1.65508367409531e+02°)	(7.41599149284554e+01dB,1.79999999999976e+02°)
1.12201845430196e+03	(4.45234516872705e+01dB,-1.51631616593394e+02°)	(6.87397186324691e+01dB,1.66517517416253e+02°)	(7.41599149284265e+01dB,1.79999999999998e+02°)
1.25892541179417e+03	(4.47305075451732e+01dB,-1.54300612104903e+02°)	(6.85979016482058e+01dB,1.67512346002240e+02°)	(7.41599149284754e+01dB,-1.79999999999917e+02°)
1.41253754462275e+03	(4.49023158289580e+01dB,-1.56785654434787e+02°)	(6.84785770676879e+01dB,1.68470087486218e+02°)	(7.41599149284540e+01dB,-1.79999999999999e+02°)
1.58489319246111e+03	(4.50438034450194e+01dB,-1.59082053015640e+02°)	(6.83791782113325e+01dB,1.69373644780644e+02°)	(7.41599149284333e+01dB,-1.79999999999951e+02°)
1.77827941003892e+03	(4.51595712626785e+01dB,-1.61190530352066e+02°)	(6.82970630351290e+01dB,1.70211011867906e+02°)	(7.41599149284536e+01dB,-1.79999999999982e+02°)
1.99526231496888e+03	(4.52537800027806e+01dB,-1.63116020560406e+02°)	(6.82296803642315e+01dB,1.70974440719449e+02°)	(7.41599149284339e+01dB,-1.79999999999927e+02°)
2.23872113856833e+03	(4.53300968555342e+01dB,-1.64866514805303e+02°)	(6.81746741765996e+01dB,1.71659530803093e+02°)	(7.41599149284438e+01dB,-1.79999999999913e+02°)
2.51188643150957e+03	(4.53916879170853e+01dB,-1.66452044481425e+02°)	(6.81299380288983e+01dB,1.72264359087035e+02°)	(7.41599149284810e+01dB,1.79999999999926e+02°)
2.81838293126445e+03	(4.54412415949957e+01dB,-1.67883842909046e+02°)	(6.80936330722785e+01dB,1.72788715061272e+02°)	(7.41599149284553e+01dB,1.79999999999969e+02°)
3.16227766016837e+03	(4.54810103721201e+01dB,-1.69173690987311e+02°)	(6.80641817921048e+01dB,1.73233465759163e+02°)	(7.41599149284971e+01dB,1.79999999999990e+02°)
3.54813389233575e+03	(4.55128613445221e+01dB,-1.70333431198104e+02°)	(6.80402471352901e+01dB,1.73600050521499e+02°)	(7.41599149284846e+01dB,1.79999999999989e+02°)
3.98107170553496e+03	(4.55383288963949e+01dB,-1.71374624394727e+02°)	(6.80207040369946e+01dB,1.73890091575759e+02°)	(7.41599149284560e+01dB,-1.79999999999976e+02°)
4.46683592150962e+03	(4.55586653281907e+01dB,-1.72308321235906e+02°)	(6.80046080277411e+01dB,1.74105100864806e+02°)	(7.41599149284486e+01dB,1.79999999999990e+02°)
5.01187233627271e+03	(4.55748870972529e+01dB,-1.73144921795319e+02°)	(6.79911637723607e+01dB,1.74246262819385e+02°)	(7.41599149284608e+01dB,1.79999999999990e+02°)
5.62341325190348e+03	(4.55878156080244e+01dB,-1.73894100546735e+02°)	(6.79796950625267e+01dB,1.74314274622041e+02°)	(7.41599149284735e+01dB,1.79999999999984e+02°)
6.30957344480191e+03	(4.55981123111587e+01dB,-1.74564778188210e+02°)	(6.79696168735561e+01dB,1.74309228464406e+02°)	(7.41599149284422e+01dB,-1.79999999999984e+02°)
7.07945784384136e+03	(4.56063083576163e+01dB,-1.75165125850531e+02°)	(6.79604095009849e+01dB,1.74230523497052e+02°)	(7.41599149285000e+01dB,1.79999999999967e+02°)
7.94328234724279e+03	(4.56128293097998e+01dB,-1.75702590778228e+02°)	(6.79515944185282e+01dB,1.74076798190757e+02°)	(7.41599149284776e+01dB,1.79999999999995e+02°)
8.91250938133743e+03	(4.56180155184007e+01dB,-1.76183935467672e+02°)	(6.79427112706382e+01dB,1.73845876518147e+02°)	(7.41599149285042e+01dB,1.79999999999973e+02°)
9.99999999999997e+03	(4.56221387895156e+01dB,-1.76615284518953e+02°)	(6.79332952745820e+01dB,1.73534723732204e+02°)	(7.41599149284937e+01dB,1.79999999999988e+02°)
1.12201845430196e+04	(4.56254159316536e+01dB,-1.77002175188112e+02°)	(6.79228542221814e+01dB,1.73139409652072e+02°)	(7.41599149284361e+01dB,-1.79999999999993e+02°)
1.25892541179416e+04	(4.56280197122997e+01dB,-1.77349608912780e+02°)	(6.79108442185295e+01dB,1.72655079399236e+02°)	(7.41599149284973e+01dB,1.79999999999986e+02°)
1.41253754462275e+04	(4.56300876846004e+01dB,-1.77662102022761e+02°)	(6.78966432667576e+01dB,1.72075933611872e+02°)	(7.41599149284402e+01dB,-1.79999999999995e+02°)
1.58489319246111e+04	(4.56317292757008e+01dB,-1.77943734520124e+02°)	(6.78795218091779e+01dB,1.71395222460322e+02°)	(7.41599149284310e+01dB,-1.79999999999987e+02°)
1.77827941003892e+04	(4.56330314641774e+01dB,-1.78198196288257e+02°)	(6.78586093852073e+01dB,1.70605260447539e+02°)	(7.41599149284352e+01dB,-1.79999999999988e+02°)
1.99526231496887e+04	(4.56340633170903e+01dB,-1.78428830418991e+02°)	(6.78328567005558e+01dB,1.69697472130167e+02°)	(7.41599149284469e+01dB,-1.79999999999994e+02°)
2.23872113856833e+04	(4.56348796080657e+01dB,-1.78638673571428e+02°)	(6.78009926761067e+01dB,1.68662482607026e+02°)	(7.41599149284308e+01dB,-1.79999999999991e+02°)
2.51188643150957e+04	(4.56355236962782e+01dB,-1.78830493425869e+02°)	(6.77614765374052e+01dB,1.67490270819310e+02°)	(7.41599149284419e+01dB,-1.79999999999995e+02°)
2.81838293126444e+04	(4.56360298115314e+01dB,-1.79006823393193e+02°)	(6.77124458199117e+01dB,1.66170408082717e+02°)	(7.41599149284763e+01dB,-1.79999999999998e+02°)
3.16227766016837e+04	(4.56364248619945e+01dB,-1.79169994800549e+02°)	(6.76516624209473e+01dB,1.64692408104274e+02°)	(7.41599149284921e+01dB,1.79999999999999e+02°)
3.54813389233574e+04	(4.56367298576123e+01dB,-1.79322166809805e+02°)	(6.75764606392863e+01dB,1.63046216693740e+02°)	(7.41599149284566e+01dB,1.80000000000000e+02°)
3.98107170553496e+04	(4.56369610229412e+01dB,-1.79465354344237e+02°)	(6.74837035613203e+01dB,1.61222867295796e+02°)	(7.41599149285047e+01dB,1.79999999999998e+02°)
4.46683592150961e+04	(4.56371306573777e+01dB,-1.79601454307386e+02°)	(6.73697570812938e+01dB,1.59215319280993e+02°)	(7.41599149284546e+01dB,-1.79999999999999e+02°)
5.01187233627270e+04	(4.56372477877739e+01dB,-1.79732270379873e+02°)	(6.72304938981031e+01dB,1.57019475954915e+02°)	(7.41599149284899e+01dB,1.79999999999999e+02°)
5.62341325190347e+04	(4.56373186476832e+01dB,-1.79859536678359e+02°)	(6.70613421894068e+01dB,1.54635345185676e+02°)	(7.41599149284674e+01dB,-1.80000000000000e+02°)
6.30957344480191e+04	(4.56373470084429e+01dB,-1.79984940557582e+02°)	(6.68573939760474e+01dB,1.52068256598878e+02°)	(7.41599149284919e+01dB,-1.79999999999999e+02°)
7.07945784384135e+04	(4.56373343795341e+01dB,1.79889855167045e+02°)	(6.66135847136902e+01dB,1.49329990211431e+02°)	(7.41599149284877e+01dB,-1.79999999999999e+02°)
7.94328234724278e+04	(4.56372800887879e+01dB,1.79763190301536e+02°)	(6.63249467959696e+01dB,1.46439615623987e+02°)	(7.41599149284946e+01dB,-1.79999999999999e+02°)
8.91250938133742e+04	(4.56371812466686e+01dB,1.79633385386956e+02°)	(6.59869250260117e+01dB,1.43423811227648e+02°)	(7.41599149284493e+01dB,-1.80000000000000e+02°)
9.99999999999995e+04	(4.56370325927505e+01dB,1.79498719571385e+02°)	(6.55957237452611e+01dB,1.40316456203902e+02°)	(7.41599149284322e+01dB,1.79999999999996e+02°)
1.12201845430196e+05	(4.56368262162879e+01dB,1.79357407965528e+02°)	(6.51486382952483e+01dB,1.37157382838522e+02°)	(7.41599149284371e+01dB,1.79999999999997e+02°)
1.25892541179416e+05	(4.56365511361511e+01dB,1.79207578204375e+02°)	(6.46443149363288e+01dB,1.33990336637532e+02°)	(7.41599149284747e+01dB,-1.79999999999998e+02°)
1.41253754462275e+05	(4.56361927180179e+01dB,1.79047245933458e+02°)	(6.40828892700177e+01dB,1.30860377090235e+02°)	(7.41599149284583e+01dB,-1.79999999999999e+02°)
1.58489319246111e+05	(4.56357318982126e+01dB,1.78874288934199e+02°)	(6.34659746639113e+01dB,1.27811098912166e+02°)	(7.41599149284568e+01dB,1.79999999999998e+02°)
1.77827941003891e+05	(4.56351441735389e+01dB,1.78686419599772e+02°)	(6.27965033355003e+01dB,1.24882103578003e+02°)	(7.41599149284860e+01dB,-1.80000000000000e+02°)
1.99526231496887e+05	(4.56343983043977e+01dB,1.78481155472451e+02°)	(6.20784529995489e+01dB,1.22107082750890e+02°)	(7.41599149284616e+01dB,1.79999999999999e+02°)
