Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
1.00000000000000e+02	(2.98298197132056e+01dB,-9.97327957698988e+01°)	(7.32345460976555e+01dB,1.67065309150182e+02°)	(7.41599149284588e+01dB,1.79999999999989e+02°)
1.05925372517729e+02	(3.03155872254567e+01dB,-1.00256812815240e+02°)	(7.31842961552732e+01dB,1.66612862998058e+02°)	(7.41599149284640e+01dB,1.79999999999954e+02°)
1.12201845430196e+02	(3.07997218449986e+01dB,-1.00812251127658e+02°)	(7.31290761440020e+01dB,1.66137347649534e+02°)	(7.41599149284677e+01dB,-1.79999999999963e+02°)
1.18850222743702e+02	(3.12820323055296e+01dB,-1.01400489670452e+02°)	(7.30684931427100e+01dB,1.65640406267213e+02°)	(7.41599149284672e+01dB,-1.79999999999980e+02°)
1.25892541179417e+02	(3.17623078672476e+01dB,-1.02022934746016e+02°)	(7.30021513803713e+01dB,1.65124005896697e+02°)	(7.41599149284370e+01dB,1.79999999999967e+02°)
1.33352143216332e+02	(3.22403166509752e+01dB,-1.02681011377733e+02°)	(7.29296583802071e+01dB,1.64590467499390e+02°)	(7.41599149284632e+01dB,-1.79999999999993e+02°)
1.41253754462275e+02	(3.27158039473292e+01dB,-1.03376152829539e+02°)	(7.28506323148608e+01dB,1.64042491936435e+02°)	(7.41599149284712e+01dB,1.79999999999942e+02°)
1.49623565609443e+02	(3.31884905311084e+01dB,-1.04109788037552e+02°)	(7.27647105668210e+01dB,1.63483180038568e+02°)	(7.41599149284634e+01dB,1.79999999999974e+02°)
1.58489319246111e+02	(3.36580710199959e+01dB,-1.04883326728015e+02°)	(7.26715594250388e+01dB,1.62916044726121e+02°)	(7.41599149284397e+01dB,1.79999999999941e+02°)
1.67880401812256e+02	(3.41242123267886e+01dB,-1.05698142007991e+02°)	(7.25708847726094e+01dB,1.62345013064418e+02°)	(7.41599149285004e+01dB,-1.79999999999932e+02°)
1.77827941003892e+02	(3.45865522657008e+01dB,-1.06555550238523e+02°)	(7.24624435344363e+01dB,1.61774416185376e+02°)	(7.41599149284836e+01dB,1.79999999999995e+02°)
1.88364908948980e+02	(3.50446983854594e+01dB,-1.07456788042847e+02°)	(7.23460555627074e+01dB,1.61208965206972e+02°)	(7.41599149284406e+01dB,1.79999999999913e+02°)
1.99526231496888e+02	(3.54982271146075e+01dB,-1.08402986364660e+02°)	(7.22216155486127e+01dB,1.60653711659562e+02°)	(7.41599149284661e+01dB,-1.79999999999989e+02°)
