time	V(vb)	V(vc)
0.000000000000000e+00	4.834934e+00	6.720092e+00
1.464843654361281e-12	4.834934e+00	6.720090e+00
5.859374617445123e-12	4.834934e+00	6.720087e+00
2.343749846978049e-11	4.834933e+00	6.720072e+00
4.687499693956099e-11	4.834933e+00	6.720053e+00
9.374999387912197e-11	4.834932e+00	6.720017e+00
1.874999877582439e-10	4.834930e+00	6.719954e+00
3.749999755164879e-10	4.834929e+00	6.719848e+00
7.499999510329758e-10	4.834929e+00	6.719676e+00
1.499999902065952e-09	4.834929e+00	6.719385e+00
2.999999804131903e-09	4.834933e+00	6.718831e+00
5.999999608263806e-09	4.834941e+00	6.717687e+00
1.199999921652761e-08	4.834957e+00	6.715243e+00
2.399999843305523e-08	4.834990e+00	6.709907e+00
4.799999686611045e-08	4.835056e+00	6.698226e+00
9.599999373222090e-08	4.835190e+00	6.673252e+00
1.919999874644418e-07	4.835459e+00	6.621562e+00
3.384843624644418e-07	4.835869e+00	6.541478e+00
6.314531124644417e-07	4.836689e+00	6.378395e+00
1.070906237464442e-06	4.837915e+00	6.126247e+00
1.322022308893013e-06	4.838615e+00	5.977918e+00
1.573138380321584e-06	4.839311e+00	5.827078e+00
1.824254451750156e-06	4.840004e+00	5.673729e+00
2.075370523178727e-06	4.840694e+00	5.517870e+00
2.326486594607299e-06	4.841381e+00	5.359502e+00
2.577602666035870e-06	4.842065e+00	5.198623e+00
2.828718737464441e-06	4.842746e+00	5.035235e+00
3.121687487464441e-06	4.843533e+00	4.842671e+00
3.414656237464441e-06	4.844312e+00	4.648183e+00
3.561140612464441e-06	4.844698e+00	4.550798e+00
3.707624987464441e-06	4.845079e+00	4.458292e+00
3.854109362464441e-06	4.845448e+00	4.384730e+00
4.000593737464441e-06	4.845801e+00	4.339513e+00
4.293562487464441e-06	4.846488e+00	4.298100e+00
4.733015612464441e-06	4.847509e+00	4.271901e+00
5.172468737464440e-06	4.848513e+00	4.258385e+00
5.863037933893014e-06	4.850067e+00	4.247868e+00
6.553607130321588e-06	4.851543e+00	4.238982e+00
7.244176326750161e-06	4.852941e+00	4.231724e+00
7.934745523178735e-06	4.854262e+00	4.226097e+00
8.625314719607308e-06	4.855505e+00	4.222099e+00
9.315883916035882e-06	4.856670e+00	4.219730e+00
1.000645311246445e-05	4.857757e+00	4.218991e+00
1.088535936246446e-05	4.858999e+00	4.216975e+00
1.176426561246446e-05	4.860069e+00	4.215273e+00
1.264317186246447e-05	4.860967e+00	4.213886e+00
1.352207811246447e-05	4.861692e+00	4.212813e+00
1.440098436246448e-05	4.862245e+00	4.212055e+00
1.527989061246448e-05	4.862627e+00	4.211611e+00
1.615879686246449e-05	4.862835e+00	4.211482e+00
1.699585043389306e-05	4.862851e+00	4.211410e+00
1.783290400532164e-05	4.862706e+00	4.211569e+00
1.866995757675021e-05	4.862400e+00	4.211958e+00
1.950701114817879e-05	4.861934e+00	4.212579e+00
2.034406471960737e-05	4.861306e+00	4.213430e+00
2.118111829103595e-05	4.860518e+00	4.214512e+00
2.201817186246452e-05	4.859569e+00	4.215825e+00
2.254133034460738e-05	4.858901e+00	4.216754e+00
2.306448882675024e-05	4.858180e+00	4.217963e+00
2.358764730889310e-05	4.857406e+00	4.219453e+00
2.411080579103596e-05	4.856580e+00	4.221223e+00
2.463396427317882e-05	4.855702e+00	4.223273e+00
2.515712275532168e-05	4.854771e+00	4.225604e+00
2.568028123746454e-05	4.853787e+00	4.228215e+00
2.597324998746454e-05	4.853218e+00	4.229793e+00
2.626621873746454e-05	4.852636e+00	4.231802e+00
2.655918748746454e-05	4.852040e+00	4.234244e+00
2.685215623746454e-05	4.851432e+00	4.237117e+00
2.714512498746455e-05	4.850810e+00	4.240422e+00
2.743809373746455e-05	4.850175e+00	4.244159e+00
2.773106248746455e-05	4.849527e+00	4.248328e+00
2.802403123746455e-05	4.848869e+00	4.254010e+00
2.817051561246455e-05	4.848536e+00	4.257501e+00
2.831699998746455e-05	4.848199e+00	4.261616e+00
2.846348436246455e-05	4.847859e+00	4.266603e+00
2.860996873746455e-05	4.847517e+00	4.272893e+00
2.875645311246456e-05	4.847170e+00	4.281348e+00
2.890293748746456e-05	4.846820e+00	4.294098e+00
2.904942186246456e-05	4.846457e+00	4.325889e+00
2.919590623746456e-05	4.846050e+00	4.434189e+00
2.928666057602587e-05	4.845764e+00	4.561650e+00
2.937532427830936e-05	4.845492e+00	4.680152e+00
2.941647563204946e-05	4.845379e+00	4.716352e+00
2.947339840705828e-05	4.845228e+00	4.757814e+00
2.953528690185092e-05	4.845065e+00	4.801354e+00
2.965906389143619e-05	4.844738e+00	4.886655e+00
2.980554826643619e-05	4.844349e+00	4.986337e+00
2.995203264143619e-05	4.843959e+00	5.084897e+00
3.009851701643619e-05	4.843568e+00	5.182393e+00
3.024500139143619e-05	4.843175e+00	5.278843e+00
3.039148576643619e-05	4.842780e+00	5.374261e+00
3.068445451643619e-05	4.841986e+00	5.562014e+00
3.097742326643619e-05	4.841187e+00	5.745646e+00
3.127039201643618e-05	4.840383e+00	5.925126e+00
3.156336076643618e-05	4.839574e+00	6.100412e+00
3.200281389143617e-05	4.838354e+00	6.355386e+00
3.229578264143616e-05	4.837538e+00	6.520014e+00
3.244226701643616e-05	4.837128e+00	6.600712e+00
3.258875139143616e-05	4.836719e+00	6.680329e+00
3.273523576643616e-05	4.836308e+00	6.758863e+00
3.288172014143615e-05	4.835898e+00	6.836314e+00
3.302820451643615e-05	4.835487e+00	6.912681e+00
3.332117326643615e-05	4.834665e+00	7.062161e+00
3.361414201643614e-05	4.833844e+00	7.207313e+00
3.405359514143613e-05	4.832612e+00	7.416960e+00
3.449304826643613e-05	4.831384e+00	7.616993e+00
3.507898576643612e-05	4.829744e+00	7.867548e+00
3.566492326643611e-05	4.828130e+00	8.103009e+00
3.625086076643609e-05	4.826544e+00	8.323375e+00
3.683679826643608e-05	4.824984e+00	8.528648e+00
3.742273576643607e-05	4.823452e+00	8.718827e+00
3.800867326643606e-05	4.821946e+00	8.893911e+00
3.859461076643605e-05	4.820467e+00	9.053902e+00
3.947351701643604e-05	4.818318e+00	9.267427e+00
4.035242326643602e-05	4.816312e+00	9.459222e+00
4.123132951643601e-05	4.814450e+00	9.629287e+00
4.211023576643599e-05	4.812731e+00	9.777621e+00
4.298914201643598e-05	4.811156e+00	9.904225e+00
4.386804826643596e-05	4.809724e+00	1.000910e+01
4.474695451643595e-05	4.808435e+00	1.009224e+01
4.606531389143592e-05	4.806868e+00	1.019182e+01
4.738367326643590e-05	4.805752e+00	1.026118e+01
4.870203264143588e-05	4.805086e+00	1.030033e+01
5.002039201643585e-05	4.804871e+00	1.030927e+01
5.133875139143583e-05	4.805107e+00	1.028800e+01
5.265711076643581e-05	4.805793e+00	1.023651e+01
5.397547014143578e-05	4.806931e+00	1.015480e+01
5.481252371286434e-05	4.807897e+00	1.008838e+01
5.564957728429289e-05	4.809010e+00	1.000371e+01
5.648663085572146e-05	4.810269e+00	9.900776e+00
5.732368442715001e-05	4.811674e+00	9.779589e+00
5.816073799857857e-05	4.813226e+00	9.640148e+00
5.899779157000712e-05	4.814923e+00	9.482451e+00
5.983484514143568e-05	4.816767e+00	9.306499e+00
6.050448799857853e-05	4.818321e+00	9.147678e+00
6.117413085572137e-05	4.819923e+00	8.970084e+00
6.184377371286421e-05	4.821574e+00	8.773718e+00
6.251341657000706e-05	4.823272e+00	8.558578e+00
6.318305942714991e-05	4.825019e+00	8.324665e+00
6.385270228429276e-05	4.826814e+00	8.071978e+00
6.452234514143560e-05	4.828658e+00	7.800519e+00
6.496179826643560e-05	4.829869e+00	7.609345e+00
6.540125139143559e-05	4.831089e+00	7.408833e+00
6.569422014143558e-05	4.831905e+00	7.269935e+00
6.598718889143558e-05	4.832724e+00	7.126849e+00
6.628015764143557e-05	4.833543e+00	6.979578e+00
6.642664201643557e-05	4.833953e+00	6.904377e+00
6.657312639143557e-05	4.834364e+00	6.828138e+00
6.671961076643556e-05	4.834774e+00	6.750863e+00
6.686609514143556e-05	4.835185e+00	6.672558e+00
6.701257951643556e-05	4.835595e+00	6.593227e+00
6.730554826643555e-05	4.836414e+00	6.431522e+00
6.759851701643555e-05	4.837233e+00	6.265813e+00
6.803797014143554e-05	4.838456e+00	6.009932e+00
6.828908621286411e-05	4.839153e+00	5.859545e+00
6.854020228429267e-05	4.839846e+00	5.706810e+00
6.879131835572125e-05	4.840536e+00	5.551725e+00
6.904243442714981e-05	4.841222e+00	5.394291e+00
6.929355049857838e-05	4.841904e+00	5.234507e+00
6.954466657000694e-05	4.842583e+00	5.072375e+00
6.979578264143551e-05	4.843258e+00	4.907893e+00
7.008875139143551e-05	4.844038e+00	4.714560e+00
7.023523576643550e-05	4.844424e+00	4.617384e+00
7.038172014143550e-05	4.844809e+00	4.520802e+00
7.052820451643550e-05	4.845186e+00	4.432550e+00
7.067468889143550e-05	4.845548e+00	4.367571e+00
7.082117326643549e-05	4.845897e+00	4.329508e+00
7.096765764143549e-05	4.846240e+00	4.307123e+00
7.126062639143548e-05	4.846924e+00	4.282317e+00
7.170007951643548e-05	4.847929e+00	4.265059e+00
7.199304826643547e-05	4.848591e+00	4.257327e+00
7.268361746286404e-05	4.850132e+00	4.247163e+00
7.337418665929259e-05	4.851594e+00	4.238563e+00
7.406475585572115e-05	4.852976e+00	4.231527e+00
7.475532505214971e-05	4.854280e+00	4.226055e+00
7.544589424857827e-05	4.855505e+00	4.222146e+00
7.613646344500684e-05	4.856651e+00	4.219801e+00
7.682703264143539e-05	4.857718e+00	4.219020e+00
7.772686523072109e-05	4.858960e+00	4.217001e+00
7.862669782000678e-05	4.860021e+00	4.215306e+00
7.952653040929248e-05	4.860900e+00	4.213938e+00
8.042636299857818e-05	4.861597e+00	4.212895e+00
8.132619558786388e-05	4.862113e+00	4.212177e+00
8.222602817714957e-05	4.862447e+00	4.211785e+00
8.312586076643528e-05	4.862600e+00	4.211719e+00
8.394198799857812e-05	4.862559e+00	4.211707e+00
8.475811523072097e-05	4.862367e+00	4.211926e+00
8.557424246286381e-05	4.862021e+00	4.212376e+00
8.639036969500664e-05	4.861524e+00	4.213057e+00
8.720649692714949e-05	4.860874e+00	4.213968e+00
8.802262415929233e-05	4.860072e+00	4.215110e+00
8.883875139143518e-05	4.859117e+00	4.216482e+00
8.936190987357803e-05	4.858431e+00	4.217464e+00
8.988506835572087e-05	4.857694e+00	4.218759e+00
9.040822683786372e-05	4.856904e+00	4.220365e+00
9.093138532000656e-05	4.856062e+00	4.222284e+00
9.145454380214941e-05	4.855169e+00	4.224514e+00
9.197770228429226e-05	4.854223e+00	4.227056e+00
9.250086076643511e-05	4.853225e+00	4.229911e+00
9.277290317714939e-05	4.852690e+00	4.231529e+00
9.304494558786368e-05	4.852144e+00	4.233583e+00
9.331698799857796e-05	4.851586e+00	4.236074e+00
9.358903040929223e-05	4.851017e+00	4.239001e+00
9.386107282000651e-05	4.850437e+00	4.242364e+00
9.413311523072080e-05	4.849846e+00	4.246164e+00
9.440515764143508e-05	4.849244e+00	4.250400e+00
9.469812639143507e-05	4.848584e+00	4.256684e+00
9.484461076643507e-05	4.848250e+00	4.260624e+00
9.499109514143507e-05	4.847913e+00	4.265361e+00
