time	V(vin)	V(vc)
0.000000000000000e+00	4.045645e-16	6.729661e+00
2.929687308722562e-12	-8.694862e-08	6.729659e+00
2.343749846978049e-11	-4.671340e-07	6.729641e+00
4.687499693956099e-11	-8.963714e-07	6.729623e+00
9.374999387912197e-11	-1.675804e-06	6.729589e+00
1.874999877582439e-10	-2.903638e-06	6.729526e+00
3.749999755164879e-10	-4.423203e-06	6.729423e+00
7.499999510329758e-10	-5.357305e-06	6.729254e+00
1.499999902065952e-09	-4.273784e-06	6.728969e+00
2.999999804131903e-09	-3.877751e-07	6.728425e+00
5.999999608263806e-09	7.309472e-06	6.727305e+00
1.199999921652761e-08	2.286201e-05	6.724919e+00
2.399999843305523e-08	5.425993e-05	6.719728e+00
4.799999686611045e-08	1.179069e-04	6.708405e+00
9.599999373222090e-08	2.465370e-04	6.684258e+00
1.919999874644418e-07	5.049325e-04	6.634346e+00
4.849687374644417e-07	1.293265e-03	6.478900e+00
7.779374874644416e-07	2.080530e-03	6.319759e+00
1.217390612464442e-06	3.258101e-03	6.074158e+00
1.468506683893013e-06	3.929517e-03	5.929916e+00
1.719622755321584e-06	4.597671e-03	5.783431e+00
1.970738826750156e-06	5.262565e-03	5.634705e+00
2.221854898178727e-06	5.924197e-03	5.483736e+00
2.472970969607299e-06	6.582569e-03	5.330525e+00
2.724087041035870e-06	7.237679e-03	5.175072e+00
2.975203112464441e-06	7.889529e-03	5.017377e+00
3.268171862464441e-06	8.642854e-03	4.831792e+00
3.561140612464441e-06	9.388925e-03	4.644636e+00
3.707624987464441e-06	9.758883e-03	4.551224e+00
3.854109362464441e-06	1.012565e-02	4.464002e+00
4.000593737464441e-06	1.047865e-02	4.396733e+00
4.147078112464441e-06	1.081261e-02	4.356084e+00
4.293562487464441e-06	1.114133e-02	4.333040e+00
4.440046862464441e-06	1.146934e-02	4.317701e+00
4.733015612464441e-06	1.212568e-02	4.298527e+00
5.172468737464440e-06	1.309471e-02	4.282625e+00
5.611921862464440e-06	1.404702e-02	4.272502e+00
6.239712041035871e-06	1.538007e-02	4.264339e+00
6.867502219607302e-06	1.665043e-02	4.257351e+00
7.495292398178732e-06	1.785811e-02	4.251540e+00
8.123082576750163e-06	1.900310e-02	4.246905e+00
8.750872755321593e-06	2.008540e-02	4.243447e+00
9.378662933893025e-06	2.110502e-02	4.241164e+00
1.000645311246445e-05	2.206195e-02	4.240058e+00
1.088535936246446e-05	2.327518e-02	4.237958e+00
1.176426561246446e-05	2.432265e-02	4.236187e+00
1.264317186246447e-05	2.520436e-02	4.234743e+00
1.352207811246447e-05	2.592030e-02	4.233627e+00
1.440098436246448e-05	2.647048e-02	4.232838e+00
1.527989061246448e-05	2.685490e-02	4.232377e+00
1.615879686246449e-05	2.707355e-02	4.232244e+00
1.699585043389306e-05	2.710449e-02	4.232169e+00
1.783290400532164e-05	2.697936e-02	4.232335e+00
1.866995757675021e-05	2.669818e-02	4.232740e+00
1.950701114817879e-05	2.626094e-02	4.233386e+00
2.034406471960737e-05	2.566765e-02	4.234273e+00
2.118111829103595e-05	2.491830e-02	4.235400e+00
2.201817186246452e-05	2.401289e-02	4.236767e+00
2.254133034460738e-05	2.337345e-02	4.237731e+00
2.306448882675024e-05	2.268290e-02	4.238993e+00
2.358764730889310e-05	2.194122e-02	4.240553e+00
2.411080579103596e-05	2.114843e-02	4.242412e+00
2.463396427317882e-05	2.030452e-02	4.244569e+00
2.515712275532168e-05	1.940949e-02	4.247025e+00
2.568028123746454e-05	1.846334e-02	4.249779e+00
2.597324998746454e-05	1.791532e-02	4.251419e+00
2.626621873746454e-05	1.735453e-02	4.253554e+00
2.655918748746454e-05	1.678098e-02	4.256183e+00
2.685215623746454e-05	1.619467e-02	4.259305e+00
2.714512498746455e-05	1.559560e-02	4.262922e+00
2.743809373746455e-05	1.498377e-02	4.267033e+00
2.773106248746455e-05	1.435917e-02	4.271638e+00
2.802403123746455e-05	1.372382e-02	4.278115e+00
2.817051561246455e-05	1.340181e-02	4.282197e+00
2.831699998746455e-05	1.307687e-02	4.287134e+00
2.846348436246455e-05	1.274893e-02	4.293342e+00
2.860996873746455e-05	1.241772e-02	4.301641e+00
2.875645311246456e-05	1.208270e-02	4.314028e+00
2.890293748746456e-05	1.174204e-02	4.342816e+00
2.904942186246456e-05	1.137578e-02	4.440909e+00
2.914124874840479e-05	1.106285e-02	4.561738e+00
2.923088084407507e-05	1.080907e-02	4.678005e+00
2.927656894027766e-05	1.069284e-02	4.717569e+00
2.933768474069957e-05	1.053747e-02	4.760544e+00
2.940087562706577e-05	1.037871e-02	4.803330e+00
