Frequency [kHz]	Vin (mVpp)	After attenuation	Vout (V)	av	dB	Phase
100	20	8.5	1.042	122.5882353	41.76897586	-2
200	20	8.5	1.029	121.0588235	41.65992898	-3
500	20	8.5	1.02	120	41.58362492	-12
750	20	8.5	1.003	118	41.43764015	-20
1000	20	8.5	0.975	114.7058824	41.1917138	-25
2000	20	8.5	0.83	97.64705882	39.79318333	-40
3000	31.9	13.5575	1.089	80.32454361	38.09696533	-60
5000	48.8	20.74	1.1615	56.00289296	34.96420924	-79
7500	60.5	25.7125	1.005	39.08604764	31.84043514	-93
10000	85	36.125	1.06	29.34256055	29.34996019	-103
15000	125	53.125	1.006	18.93647059	25.54598075	-118
20000	35.2	14.96	0.2348	15.69518717	23.91532998	-130
75	20	8.5	1.036	121.8823529	41.71881659	-1
50	20	8.5	1.025	120.5882353	41.62609879	0
20	20	8.5	0.998	117.4117647	41.39423231	13
10	20	8.5	0.9	105.8823529	40.49647167	27
5	20	8.5	0.687	80.82352941	38.15075623	50
3.9	20	8.5	0.588	69.17647059	36.79916801	58
2	20	8.5	0.34	40	32.04119983	76
1	20	8.5	0.1797	21.14117647	26.50258303	83
