Frequency [kHz]	vout [V]	 vin [mV]	av	dB	Phase (in to out)	Phase (out to in)
1	1.12	60.7	18.45140033	25.32058663	-87	87
1.5	1.596	60.7	26.29324547	28.39688392	-83	83
2	1.43	40.8	35.04901961	30.89351749	-76	76
3	2.036	40.7	50.02457002	33.98366729	-65	65
4	2.541	40.5	62.74074074	35.95099284	-56	56
6.4	1.661	19	87.42105263	38.83232063	-44	44
10	2	19	105.2631579	40.44552789	-29	29
15	2.541	22.2	114.4594595	41.17303381	-16	16
20	2.284	18.9	120.8465608	41.64468591	-10	10
30	2.714	22.4	121.1607143	41.6672365	-4	4
50	2.393	19	125.9473684	42.00378195	2.8	-2.8
100	2.404	19.2	125.2083333	41.95266469	7.5	-7.5
200	2.395	19.4	123.4536082	41.83007576	11.3	-11.3
300	2.391	19.4	123.2474227	41.81555692	14.2	-14.2
500	2.329	19.4	120.0515464	41.58735517	19	-19
1000	2.102	18.8	111.8085106	40.96949725	31	-31
2000	1.61	16.9	95.26627219	39.57878343	49	-49
3000	2.528	33.5	75.46268657	37.55464525	66	-66
5000	2.744	56.9	48.22495606	33.66543681	80	-80
7500	2.09	64.2	32.55451713	30.25222516	97	-97
10000	1.455	57.9	25.12953368	28.00368859	104	-104
15000	1.084	69.7	15.55236729	23.83593008	115	-115
20000	1.139	132.4	8.602719033	18.69271478	120	-120
