x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.98000E-06,,,,
-9.97000E-06,-578.23506628E-03,-543.78773398E-03,+2.67876906E-03,-3.29711111E-03
-9.96000E-06,-573.52401105E-03,-548.95182240E-03,+2.45115342E-03,-3.35818013E-03
-9.95000E-06,-580.80917675E-03,-555.11876499E-03,+2.55466811E-03,-3.50316960E-03
-9.94000E-06,-581.19794858E-03,-554.06435096E-03,+2.17364383E-03,-3.97876324E-03
-9.93000E-06,-580.36794051E-03,-557.84861033E-03,+1.95890836E-03,-3.98283375E-03
-9.92000E-06,-584.72030049E-03,-560.14931792E-03,+2.22569064E-03,-3.89602551E-03
-9.91000E-06,-585.20601087E-03,-556.05083744E-03,+2.77354345E-03,-3.67500561E-03
-9.90000E-06,-591.99201088E-03,-561.96887560E-03,+2.78694750E-03,-3.57843793E-03
-9.89000E-06,-593.48404291E-03,-563.20386218E-03,+2.84905979E-03,-3.64354732E-03
-9.88000E-06,-601.40703562E-03,-562.97338813E-03,+2.63023646E-03,-3.88345139E-03
-9.87000E-06,-597.59055134E-03,-568.18481513E-03,+2.51557610E-03,-3.79563154E-03
-9.86000E-06,-594.58138578E-03,-566.22554080E-03,+2.09699454E-03,-4.19820995E-03
-9.85000E-06,-593.62451335E-03,-568.30127707E-03,+1.90006832E-03,-4.43294522E-03
-9.84000E-06,-602.76202699E-03,-572.86639681E-03,+2.02603265E-03,-4.22334614E-03
-9.83000E-06,-599.04444114E-03,-574.27324956E-03,+2.24739477E-03,-3.65683227E-03
-9.82000E-06,-596.07138255E-03,-575.79931561E-03,+2.35148235E-03,-3.57879750E-03
-9.81000E-06,-602.15160057E-03,-582.62315633E-03,+2.13239067E-03,-3.89885075E-03
-9.80000E-06,-605.24511624E-03,-575.03236283E-03,+2.13410331E-03,-3.97975976E-03
-9.79000E-06,-611.93123788E-03,-576.66373460E-03,+2.22810129E-03,-4.22058120E-03
-9.78000E-06,-605.68936767E-03,-578.51434880E-03,+1.81285604E-03,-4.62864501E-03
-9.77000E-06,-604.01789380E-03,-579.34145474E-03,+1.77797474E-03,-4.86138044E-03
-9.76000E-06,-605.11742269E-03,-581.01696144E-03,+2.00485919E-03,-4.31384498E-03
-9.75000E-06,-604.61169895E-03,-576.03657384E-03,+1.91930753E-03,-4.05485925E-03
-9.74000E-06,-601.42712436E-03,-571.96443864E-03,+1.82424443E-03,-4.57869075E-03
-9.73000E-06,-602.16848567E-03,-576.91147063E-03,+2.06331254E-03,-4.70413119E-03
-9.72000E-06,-605.14045125E-03,-575.04939868E-03,+1.55225567E-03,-4.94959905E-03
-9.71000E-06,-601.55937840E-03,-574.46739049E-03,+1.59637854E-03,-4.69821538E-03
-9.70000E-06,-598.62370824E-03,-570.19097576E-03,+1.75411173E-03,-4.48613478E-03
-9.69000E-06,-604.50571481E-03,-574.02698343E-03,+2.00289932E-03,-4.65015315E-03
-9.68000E-06,-603.95253942E-03,-567.50926048E-03,+1.98080622E-03,-4.41972509E-03
-9.67000E-06,-598.21714675E-03,-569.91889201E-03,+1.79424776E-03,-4.31210370E-03
-9.66000E-06,-597.63736226E-03,-571.38088515E-03,+1.78462024E-03,-4.59107642E-03
-9.65000E-06,-592.42797053E-03,-571.18297522E-03,+1.50050510E-03,-4.90880118E-03
-9.64000E-06,-591.78595993E-03,-573.58853625E-03,+986.24308E-06,-5.22877378E-03
-9.63000E-06,-592.98932463E-03,-568.17071909E-03,+1.35243185E-03,-5.09885502E-03
-9.62000E-06,-592.19482050E-03,-570.14887608E-03,+1.52764714E-03,-5.06951942E-03
-9.61000E-06,-593.07861212E-03,-565.23467203E-03,+1.59783865E-03,-4.93313382E-03
-9.60000E-06,-588.29010405E-03,-570.10481653E-03,+1.61906336E-03,-4.75657826E-03
-9.59000E-06,-583.47216013E-03,-558.69463663E-03,+1.59445635E-03,-4.96272947E-03
-9.58000E-06,-582.04853536E-03,-554.50242125E-03,+1.52951129E-03,-5.27590732E-03
-9.57000E-06,-581.01926053E-03,-559.54364043E-03,+1.21488615E-03,-5.47809430E-03
-9.56000E-06,-575.10495367E-03,-552.61897909E-03,+1.16618696E-03,-5.95071270E-03
-9.55000E-06,-577.78930725E-03,-552.60288549E-03,+1.34270407E-03,-5.57414262E-03
-9.54000E-06,-574.41451149E-03,-549.81989731E-03,+1.27014338E-03,-5.27036539E-03
-9.53000E-06,-568.94916730E-03,-546.86134935E-03,+1.51851789E-03,-5.14283089E-03
-9.52000E-06,-569.34449718E-03,-549.34666231E-03,+1.42346685E-03,-4.91097288E-03
-9.51000E-06,-569.01994903E-03,-549.59861962E-03,+1.42062578E-03,-5.06279252E-03
-9.50000E-06,-565.68582072E-03,-537.08732784E-03,+1.04766338E-03,-5.30297474E-03
-9.49000E-06,-560.33305642E-03,-536.90008418E-03,+1.26867799E-03,-5.60797538E-03
-9.48000E-06,-557.19235294E-03,-531.83120057E-03,+1.05802510E-03,-5.49348160E-03
